,sentence,words,words_tag
2174,고추장모듬국산마늘장아찌 한 개의 판매가는 어느정도일까,"['고추장모듬국산마늘장아찌', ' ', '한', ' ', '개의', ' ', '판매가는', ' ', '어느정도일까']","['PRD_B', '-', '-', '-', '-', '-', '-', '-', '-']"
2175,앵거스박 양념엘에이갈비 얼마야,"['앵거스박', ' ', '양념엘에이갈비', ' ', '얼마야']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-']"
2176,피코크 과일 그래놀라 얼마일까,"['피코크', ' ', '과일', ' ', '그래놀라', ' ', '얼마일까']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-']"
2177,춘향골 김치보감 깍두기 얼마야,"['춘향골', ' ', '김치보감', ' ', '깍두기', ' ', '얼마야']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-']"
2178,독일 통곡물 통호밀빵 선플라워씨드 얼마일까,"['독일', ' ', '통곡물', ' ', '통호밀빵', ' ', '선플라워씨드', ' ', '얼마일까']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-']"
2179,전용목장 저지방 우유 얼마 주고 살 수 있어,"['전용목장', ' ', '저지방', ' ', '우유', ' ', '얼마', ' ', '주고', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2180,부촌푸드 국내산 냉장 고추장 돼지불고기 얼마에 살 수 있어,"['부촌푸드', ' ', '국내산', ' ', '냉장', ' ', '고추장', ' ', '돼지불고기', ' ', '얼마에', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2181,돌 워터젤리파인애플 얼마에 구매할 수 있어,"['돌', ' ', '워터젤리파인애플', ' ', '얼마에', ' ', '구매할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2182,어메이징 훈제삼겹 얼마에 구입할 수 있어,"['어메이징', ' ', '훈제삼겹', ' ', '얼마에', ' ', '구입할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2183,프랑스 프리미엄 까레루스띠끄 파베이크 얼마에 팔아,"['프랑스', ' ', '프리미엄', ' ', '까레루스띠끄', ' ', '파베이크', ' ', '얼마에', ' ', '팔아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2184,개성 왕만두 얼마에 팔고있어,"['개성', ' ', '왕만두', ' ', '얼마에', ' ', '팔고있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2185,노브랜드 초코파이찰떡 어느정도 주고 살 수 있어,"['노브랜드', ' ', '초코파이찰떡', ' ', '어느정도', ' ', '주고', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2186,벨조이오오소 리코타 치즈 어느정도에 살 수 있어,"['벨조이오오소', ' ', '리코타', ' ', '치즈', ' ', '어느정도에', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2187,크라운 츄러스 어느정도에 구매할 수 있어,"['크라운', ' ', '츄러스', ' ', '어느정도에', ' ', '구매할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2188,시크릿쥬쥬 엘이디매직캔디 어느정도에 구입할 수 있어,"['시크릿쥬쥬', ' ', '엘이디매직캔디', ' ', '어느정도에', ' ', '구입할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2189,땅콩알사탕 어느정도에 팔아,"['땅콩알사탕', ' ', '어느정도에', ' ', '팔아']","['PRD_B', '-', '-', '-', '-']"
2190,씨제이 고메매쉬드포테이토함박스테이크 어느정도에 팔고있어,"['씨제이', ' ', '고메매쉬드포테이토함박스테이크', ' ', '어느정도에', ' ', '팔고있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2191,스코 오리온 바이오생과즙 얼마 주고 살 수 있어,"['스코', ' ', '오리온', ' ', '바이오생과즙', ' ', '얼마', ' ', '주고', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2192,하선정알마늘 얼마에 살 수 있어,"['하선정알마늘', ' ', '얼마에', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', '-', '-', '-', '-', '-', '-', '-', '-']"
2193,또로롱 슈퍼콘 초코 얼마에 구매할 수 있어,"['또로롱', ' ', '슈퍼콘', ' ', '초코', ' ', '얼마에', ' ', '구매할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2194,오리온 눈을 감자 얼마에 구입할 수 있어,"['오리온', ' ', '눈을', ' ', '감자', ' ', '얼마에', ' ', '구입할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2195,자연색소 막대사탕 얼마에 팔아,"['자연색소', ' ', '막대사탕', ' ', '얼마에', ' ', '팔아']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2196,피코크 솜절미 얼마에 팔고있어,"['피코크', ' ', '솜절미', ' ', '얼마에', ' ', '팔고있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2197,래핑카우 체다 어느정도 주고 살 수 있어,"['래핑카우', ' ', '체다', ' ', '어느정도', ' ', '주고', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2198,강훈목장 구워먹는 그릴치즈 어느정도에 살 수 있어,"['강훈목장', ' ', '구워먹는', ' ', '그릴치즈', ' ', '어느정도에', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2199,풀무원탱글새우물만두 어느정도에 구매할 수 있어,"['풀무원탱글새우물만두', ' ', '어느정도에', ' ', '구매할', ' ', '수', ' ', '있어']","['PRD_B', '-', '-', '-', '-', '-', '-', '-', '-']"
2200,끌레도르 프리미엄아이스크림아이스크림 세트 어느정도에 구입할 수 있어,"['끌레도르', ' ', '프리미엄아이스크림아이스크림', ' ', '세트', ' ', '어느정도에', ' ', '구입할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2201,젤라티보 레드빈 어느정도에 팔아,"['젤라티보', ' ', '레드빈', ' ', '어느정도에', ' ', '팔아']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2202,화과방 우리쌀로 만든 라이스케이크 어느정도에 팔고있어,"['화과방', ' ', '우리쌀로', ' ', '만든', ' ', '라이스케이크', ' ', '어느정도에', ' ', '팔고있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2203,아이스 군고구마 얼마 주고 살 수 있어,"['아이스', ' ', '군고구마', ' ', '얼마', ' ', '주고', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2204,동원 개성 왕쭈꾸미 만두 얼마에 살 수 있어,"['동원', ' ', '개성', ' ', '왕쭈꾸미', ' ', '만두', ' ', '얼마에', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2205,대학두유 얼마에 구매할 수 있어,"['대학두유', ' ', '얼마에', ' ', '구매할', ' ', '수', ' ', '있어']","['PRD_B', '-', '-', '-', '-', '-', '-', '-', '-']"
2206,아산 맛집 쭈꾸뿅 쭈꾸미 뿅맛 제일매운맛 얼마에 구입할 수 있어,"['아산', ' ', '맛집', ' ', '쭈꾸뿅', ' ', '쭈꾸미', ' ', '뿅맛', ' ', '제일매운맛', ' ', '얼마에', ' ', '구입할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2207,종가집 어린이 한입 배추김치 얼마에 팔아,"['종가집', ' ', '어린이', ' ', '한입', ' ', '배추김치', ' ', '얼마에', ' ', '팔아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2208,킹즈 수제 왕소시지 얼마에 팔고있어,"['킹즈', ' ', '수제', ' ', '왕소시지', ' ', '얼마에', ' ', '팔고있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2209,종가집 오래오래맛있는 총각김치 어느정도 주고 살 수 있어,"['종가집', ' ', '오래오래맛있는', ' ', '총각김치', ' ', '어느정도', ' ', '주고', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2210,청정원 집으로온 렌지온 매콤제육볶음 어느정도에 살 수 있어,"['청정원', ' ', '집으로온', ' ', '렌지온', ' ', '매콤제육볶음', ' ', '어느정도에', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2211,자갈치 어느정도에 구매할 수 있어,"['자갈치', ' ', '어느정도에', ' ', '구매할', ' ', '수', ' ', '있어']","['PRD_B', '-', '-', '-', '-', '-', '-', '-', '-']"
2212,대림선 간장마늘쫑 어느정도에 구입할 수 있어,"['대림선', ' ', '간장마늘쫑', ' ', '어느정도에', ' ', '구입할', ' ', '수', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-']"
2213,케이미트 쇠고기육포 어느정도에 팔아,"['케이미트', ' ', '쇠고기육포', ' ', '어느정도에', ' ', '팔아']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
2214,맛밤 어느정도에 팔고있어,"['맛밤', ' ', '어느정도에', ' ', '팔고있어']","['PRD_B', '-', '-', '-', '-']"
2215,수제 전주 보리 초코파이 얼마 주고 살 수 있는지 알려줘,"['수제', ' ', '전주', ' ', '보리', ' ', '초코파이', ' ', '얼마', ' ', '주고', ' ', '살', ' ', '수', ' ', '있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2216,롤리팝 아이스츄잉 얼마 주고 살 수 있는지 확인해줘,"['롤리팝', ' ', '아이스츄잉', ' ', '얼마', ' ', '주고', ' ', '살', ' ', '수', ' ', '있는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2217,씨제이 더건강한 그릴비엔나 얼마 주고 살 수 있는지 검색해줘,"['씨제이', ' ', '더건강한', ' ', '그릴비엔나', ' ', '얼마', ' ', '주고', ' ', '살', ' ', '수', ' ', '있는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2218,퀘소 만체고 얼마 주고 살 수 있는지 찾아줘,"['퀘소', ' ', '만체고', ' ', '얼마', ' ', '주고', ' ', '살', ' ', '수', ' ', '있는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2219,파스퇴르 엘비 얼마에 살 수 있는지 알려줘,"['파스퇴르', ' ', '엘비', ' ', '얼마에', ' ', '살', ' ', '수', ' ', '있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2220,오리온 고래밥 볶음 양념 얼마에 살 수 있는지 확인해줘,"['오리온', ' ', '고래밥', ' ', '볶음', ' ', '양념', ' ', '얼마에', ' ', '살', ' ', '수', ' ', '있는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2221,피코크 고기 동그랑땡 얼마에 살 수 있는지 검색해줘,"['피코크', ' ', '고기', ' ', '동그랑땡', ' ', '얼마에', ' ', '살', ' ', '수', ' ', '있는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2222,위즐 커피 초코 퍼지 아이스크림 얼마에 살 수 있는지 찾아줘,"['위즐', ' ', '커피', ' ', '초코', ' ', '퍼지', ' ', '아이스크림', ' ', '얼마에', ' ', '살', ' ', '수', ' ', '있는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2223,종가집 볶음김치 투어세트 얼마에 구매할 수 있는지 알려줘,"['종가집', ' ', '볶음김치', ' ', '투어세트', ' ', '얼마에', ' ', '구매할', ' ', '수', ' ', '있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2224,끼리 포션 플레인 얼마에 구매할 수 있는지 확인해줘,"['끼리', ' ', '포션', ' ', '플레인', ' ', '얼마에', ' ', '구매할', ' ', '수', ' ', '있는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2225,굽네 포차 직화구이 무뼈닭발 얼마에 구매할 수 있는지 검색해줘,"['굽네', ' ', '포차', ' ', '직화구이', ' ', '무뼈닭발', ' ', '얼마에', ' ', '구매할', ' ', '수', ' ', '있는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2226,이마트 스틱캔디 얼마에 구매할 수 있는지 찾아줘,"['이마트', ' ', '스틱캔디', ' ', '얼마에', ' ', '구매할', ' ', '수', ' ', '있는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2227,바다먹자 국내산 간장돌게장 얼마에 구입할 수 있는지 알려줘,"['바다먹자', ' ', '국내산', ' ', '간장돌게장', ' ', '얼마에', ' ', '구입할', ' ', '수', ' ', '있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2228,불라 리얼 데어리 아이스크림 초코 얼마에 구입할 수 있는지 확인해줘,"['불라', ' ', '리얼', ' ', '데어리', ' ', '아이스크림', ' ', '초코', ' ', '얼마에', ' ', '구입할', ' ', '수', ' ', '있는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2229,캘리포니아 뮌스터 슬라이스 치즈 얼마에 구입할 수 있는지 검색해줘,"['캘리포니아', ' ', '뮌스터', ' ', '슬라이스', ' ', '치즈', ' ', '얼마에', ' ', '구입할', ' ', '수', ' ', '있는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2230,생얼음 얼마에 구입할 수 있는지 찾아줘,"['생얼음', ' ', '얼마에', ' ', '구입할', ' ', '수', ' ', '있는지', ' ', '찾아줘']","['PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2231,피코크 조선호텔 볶음 김치 얼마에 파는지 알려줘,"['피코크', ' ', '조선호텔', ' ', '볶음', ' ', '김치', ' ', '얼마에', ' ', '파는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2232,매일우유 멸균 오리지널 얼마에 파는지 확인해줘,"['매일우유', ' ', '멸균', ' ', '오리지널', ' ', '얼마에', ' ', '파는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2233,매일 알라 크림치즈 플레인 얼마에 파는지 검색해줘,"['매일', ' ', '알라', ' ', '크림치즈', ' ', '플레인', ' ', '얼마에', ' ', '파는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2234,투게더 시그니처 아이스크림 그린티라떼 얼마에 파는지 찾아줘,"['투게더', ' ', '시그니처', ' ', '아이스크림', ' ', '그린티라떼', ' ', '얼마에', ' ', '파는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2235,마포서서갈비양념 엘에이갈비구이 얼마에 팔고있는지 알려줘,"['마포서서갈비양념', ' ', '엘에이갈비구이', ' ', '얼마에', ' ', '팔고있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2236,꼬막무침 얼마에 팔고있는지 확인해줘,"['꼬막무침', ' ', '얼마에', ' ', '팔고있는지', ' ', '확인해줘']","['PRD_B', '-', '-', '-', '-', '-', '-']"
2237,동원 우유담아 내몸이 건강한 체다치즈 얼마에 팔고있는지 검색해줘,"['동원', ' ', '우유담아', ' ', '내몸이', ' ', '건강한', ' ', '체다치즈', ' ', '얼마에', ' ', '팔고있는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2238,더반찬 삼색나물 얼마에 팔고있는지 찾아줘,"['더반찬', ' ', '삼색나물', ' ', '얼마에', ' ', '팔고있는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2239,하겐다즈 스트로베리 아이스크림 미니컵 어느정도 주고 살 수 있는지 알려줘,"['하겐다즈', ' ', '스트로베리', ' ', '아이스크림', ' ', '미니컵', ' ', '어느정도', ' ', '주고', ' ', '살', ' ', '수', ' ', '있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2240,뉴트로 비락우유 클래식 어느정도 주고 살 수 있는지 확인해줘,"['뉴트로', ' ', '비락우유', ' ', '클래식', ' ', '어느정도', ' ', '주고', ' ', '살', ' ', '수', ' ', '있는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2241,풀무원 얇은피꽉찬속 고기만두 어느정도 주고 살 수 있는지 검색해줘,"['풀무원', ' ', '얇은피꽉찬속', ' ', '고기만두', ' ', '어느정도', ' ', '주고', ' ', '살', ' ', '수', ' ', '있는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2242,스노우밸리 생얼음 어느정도 주고 살 수 있는지 찾아줘,"['스노우밸리', ' ', '생얼음', ' ', '어느정도', ' ', '주고', ' ', '살', ' ', '수', ' ', '있는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2243,크라운 포켓몬볼 피규어 어느정도에 살 수 있는지 알려줘,"['크라운', ' ', '포켓몬볼', ' ', '피규어', ' ', '어느정도에', ' ', '살', ' ', '수', ' ', '있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2244,마파두부덮밥소스 어느정도에 살 수 있는지 확인해줘,"['마파두부덮밥소스', ' ', '어느정도에', ' ', '살', ' ', '수', ' ', '있는지', ' ', '확인해줘']","['PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2245,매일 소화가 잘되는 멸균우유 어느정도에 살 수 있는지 검색해줘,"['매일', ' ', '소화가', ' ', '잘되는', ' ', '멸균우유', ' ', '어느정도에', ' ', '살', ' ', '수', ' ', '있는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2246,포스 오리온 밀크카라멜 콜드브루라떼맛 어느정도에 살 수 있는지 찾아줘,"['포스', ' ', '오리온', ' ', '밀크카라멜', ' ', '콜드브루라떼맛', ' ', '어느정도에', ' ', '살', ' ', '수', ' ', '있는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2247,빙그레 바나나맛우유라이트딸기맛우유 어느정도에 구매할 수 있는지 알려줘,"['빙그레', ' ', '바나나맛우유라이트딸기맛우유', ' ', '어느정도에', ' ', '구매할', ' ', '수', ' ', '있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2248,씨제이 맥스봉 갈릭후랑크 어느정도에 구매할 수 있는지 확인해줘,"['씨제이', ' ', '맥스봉', ' ', '갈릭후랑크', ' ', '어느정도에', ' ', '구매할', ' ', '수', ' ', '있는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2249,매일 상하치즈 뼈로가는 칼슘치즈 어느정도에 구매할 수 있는지 검색해줘,"['매일', ' ', '상하치즈', ' ', '뼈로가는', ' ', '칼슘치즈', ' ', '어느정도에', ' ', '구매할', ' ', '수', ' ', '있는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2250,정통 독일식 닭가슴살 소시지 프랑크 오리지널 어느정도에 구매할 수 있는지 찾아줘,"['정통', ' ', '독일식', ' ', '닭가슴살', ' ', '소시지', ' ', '프랑크', ' ', '오리지널', ' ', '어느정도에', ' ', '구매할', ' ', '수', ' ', '있는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2251,국내산 팥으로 만든 안흥흑미찐빵 어느정도에 구입할 수 있는지 알려줘,"['국내산', ' ', '팥으로', ' ', '만든', ' ', '안흥흑미찐빵', ' ', '어느정도에', ' ', '구입할', ' ', '수', ' ', '있는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2252,츄파춥스 전용 케이스증정츄파춥스 슬림휠 어느정도에 구입할 수 있는지 확인해줘,"['츄파춥스', ' ', '전용', ' ', '케이스증정츄파춥스', ' ', '슬림휠', ' ', '어느정도에', ' ', '구입할', ' ', '수', ' ', '있는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2253,프로바이오틱 어느정도에 구입할 수 있는지 검색해줘,"['프로바이오틱', ' ', '어느정도에', ' ', '구입할', ' ', '수', ' ', '있는지', ' ', '검색해줘']","['PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2254,네슬 네스퀵 초콜릿맛 드링크 어느정도에 구입할 수 있는지 찾아줘,"['네슬', ' ', '네스퀵', ' ', '초콜릿맛', ' ', '드링크', ' ', '어느정도에', ' ', '구입할', ' ', '수', ' ', '있는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
2255,크라운 비단박하 어느정도에 파는지 알려줘,"['크라운', ' ', '비단박하', ' ', '어느정도에', ' ', '파는지', ' ', '알려줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2256,동광젓갈 웰빙오징어젓매운 어느정도에 파는지 확인해줘,"['동광젓갈', ' ', '웰빙오징어젓매운', ' ', '어느정도에', ' ', '파는지', ' ', '확인해줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2257,나폴레옹 고방카스테라 어느정도에 파는지 검색해줘,"['나폴레옹', ' ', '고방카스테라', ' ', '어느정도에', ' ', '파는지', ' ', '검색해줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2258,창화당 납작김치왕군만두 어느정도에 파는지 찾아줘,"['창화당', ' ', '납작김치왕군만두', ' ', '어느정도에', ' ', '파는지', ' ', '찾아줘']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-']"
2259,포스틱 어느정도에 팔고있는지 알려줘,"['포스틱', ' ', '어느정도에', ' ', '팔고있는지', ' ', '알려줘']","['PRD_B', '-', '-', '-', '-', '-', '-']"
2260,쌀새우깡 어느정도에 팔고있는지 확인해줘,"['쌀새우깡', ' ', '어느정도에', ' ', '팔고있는지', ' ', '확인해줘']","['PRD_B', '-', '-', '-', '-', '-', '-']"
